year,SP500,AGG
1976,23.84,15.6
1977,-7.18,3.0
1978,6.56,1.4
1979,18.44,1.9
1980,32.5,2.7
1981,-4.92,6.3
1982,21.55,32.6
1983,22.56,8.4
1984,6.27,15.15
1985,31.73,22.11
1986,18.67,15.26
1987,5.25,2.76
1988,16.61,7.89
1989,31.69,14.53
1990,-3.1,8.96
1991,30.47,16.0
1992,7.62,7.4
1993,10.08,9.75
1994,1.32,-2.92
1995,37.58,18.47
1996,22.96,3.63
1997,33.36,9.65
1998,28.58,8.69
1999,21.04,-0.82
2000,-9.1,11.63
2001,-11.89,8.44
2002,-22.1,10.26
2003,28.69,4.1
2004,10.88,4.34
2005,4.91,2.43
2006,15.79,4.33
2007,5.49,6.97
2008,-37.0,5.24
2009,26.46,5.93
2010,15.06,6.54
2011,2.11,7.84
2012,16.0,4.21
2013,32.4,-2.02
2014,13.69,5.97
2015,1.38,0.55
2016,11.96,2.65
